year,month,day,aqit
2014,1,1,130
2014,1,2,152
2014,1,3,99
2014,1,4,91
2014,1,5,117
2014,1,6,144
2014,1,7,129
2014,1,8,58
2014,1,9,75
2014,1,10,209
2014,1,11,362
2014,1,12,152
2014,1,13,123
2014,1,14,155
2014,1,15,324
2014,1,16,277
2014,1,17,132
2014,1,18,233
2014,1,19,245
2014,1,20,55
2014,1,21,58
2014,1,22,142
2014,1,23,162
2014,1,24,229
2014,1,25,103
2014,1,26,73
2014,1,27,140
2014,1,28,72
2014,1,29,118
2014,1,30,144
2014,1,31,163
2014,2,1,77
2014,2,2,94
2014,2,3,56
2014,2,4,57
2014,2,5,77
2014,2,6,69
2014,2,7,74
2014,2,8,92
2014,2,9,51
2014,2,10,79
2014,2,11,87
2014,2,12,193
2014,2,13,127
2014,2,14,236
2014,2,15,248
2014,2,16,203
2014,2,17,65
2014,2,18,68
2014,2,19,80
2014,2,20,125
2014,2,21,200
2014,2,22,200
2014,2,23,192
2014,2,24,239
2014,2,25,294
2014,2,26,251
2014,2,27,57
2014,2,28,68
2014,3,1,87
2014,3,2,216
2014,3,3,185
2014,3,4,120
2014,3,5,87
2014,3,6,60
2014,3,7,89
2014,3,8,202
2014,3,9,94
2014,3,10,130
2014,3,11,241
2014,3,12,75
2014,3,13,84
2014,3,14,82
2014,3,15,179
2014,3,16,188
2014,3,17,171
2014,3,18,121
2014,3,19,100
2014,3,20,59
2014,3,21,118
2014,3,22,119
2014,3,23,218
2014,3,24,169
2014,3,25,218
2014,3,26,249
2014,3,27,215
2014,3,28,232
2014,3,29,172
2014,3,30,143
2014,3,31,192
2014,4,1,155
2014,4,2,115
2014,4,3,85
2014,4,4,97
2014,4,5,108
2014,4,6,115
2014,4,7,120
2014,4,8,188
2014,4,9,166
2014,4,10,156
2014,4,11,105
2014,4,12,119
2014,4,13,204
2014,4,14,165
2014,4,15,104
2014,4,16,118
2014,4,17,144
2014,4,18,115
2014,4,19,90
2014,4,20,104
2014,4,21,147
2014,4,22,122
2014,4,23,137
2014,4,24,120
2014,4,25,94
2014,4,26,66
2014,4,27,98
2014,4,28,80
2014,4,29,92
2014,4,30,106
2014,5,1,110
2014,5,2,58
2014,5,3,105
2014,5,4,69
2014,5,5,61
2014,5,6,100
2014,5,7,99
2014,5,8,80
2014,5,9,76
2014,5,10,61
2014,5,11,44
2014,5,12,65
2014,5,13,90
2014,5,14,66
2014,5,15,120
2014,5,16,110
2014,5,17,82
2014,5,18,95
2014,5,19,137
2014,5,20,150
2014,5,21,190
2014,5,22,150
2014,5,23,120
2014,5,24,90
2014,5,25,134
2014,5,26,82
2014,5,27,121
2014,5,28,78
2014,5,29,108
2014,5,30,129
2014,5,31,158
2014,6,1,81
2014,6,2,60
2014,6,3,75
2014,6,4,87
2014,6,5,115
2014,6,6,97
2014,6,7,47
2014,6,8,84
2014,6,9,100
2014,6,10,79
2014,6,11,98
2014,6,12,102
2014,6,13,68
2014,6,14,128
2014,6,15,116
2014,6,16,139
2014,6,17,119
2014,6,18,130
2014,6,19,92
2014,6,20,54
2014,6,21,74
2014,6,22,90
2014,6,23,110
2014,6,24,120
2014,6,25,100
2014,6,26,138
2014,6,27,74
2014,6,28,76
2014,6,29,112
2014,6,30,129
2014,7,1,123
2014,7,2,88
2014,7,3,140
2014,7,4,170
2014,7,5,138
2014,7,6,117
2014,7,7,133
2014,7,8,142
2014,7,9,74
2014,7,10,116
2014,7,11,140
2014,7,12,139
2014,7,13,120
2014,7,14,136
2014,7,15,120
2014,7,16,118
2014,7,17,97
2014,7,18,118
2014,7,19,110
2014,7,20,88
2014,7,21,80
2014,7,22,69
2014,7,23,64
2014,7,24,73
2014,7,25,109
2014,7,26,120
2014,7,27,124
2014,7,28,138
2014,7,29,168
2014,7,30,119
2014,7,31,113
2014,8,1,80
2014,8,2,67
2014,8,3,94
2014,8,4,82
2014,8,5,60
2014,8,6,82
2014,8,7,70
2014,8,8,95
2014,8,9,82
2014,8,10,115
2014,8,11,80
2014,8,12,84
2014,8,13,48
2014,8,14,90
2014,8,15,110
2014,8,16,133
2014,8,17,68
2014,8,18,75
2014,8,19,99
2014,8,20,104
2014,8,21,119
2014,8,22,88
