"data","hour","type","site","value"
20140513,0,"AQI","南京-迈皋桥","120"
20140513,0,"PM2.5","南京-迈皋桥","76"
20140513,0,"PM2.5_24h","南京-迈皋桥","72"
20140513,0,"PM10","南京-迈皋桥","190"
20140513,0,"PM10_24h","南京-迈皋桥","130"
20140513,0,"SO2","南京-迈皋桥","14"
20140513,0,"SO2_24h","南京-迈皋桥","22"
20140513,0,"NO2","南京-迈皋桥","103"
20140513,0,"NO2_24h","南京-迈皋桥","59"
20140513,0,"O3","南京-迈皋桥","2"
20140513,0,"O3_24h","南京-迈皋桥","200"
20140513,0,"O3_8h","南京-迈皋桥","63"
20140513,0,"O3_8h_24h","南京-迈皋桥","171"
20140513,0,"CO","南京-迈皋桥","0.795"
20140513,0,"CO_24h","南京-迈皋桥","0.76"
20140513,1,"AQI","南京-迈皋桥","121"
20140513,1,"PM2.5","南京-迈皋桥","73"
20140513,1,"PM2.5_24h","南京-迈皋桥","71"
20140513,1,"PM10","南京-迈皋桥","191"
20140513,1,"PM10_24h","南京-迈皋桥","133"
20140513,1,"SO2","南京-迈皋桥","12"
20140513,1,"SO2_24h","南京-迈皋桥","22"
20140513,1,"NO2","南京-迈皋桥","96"
20140513,1,"NO2_24h","南京-迈皋桥","59"
20140513,1,"O3","南京-迈皋桥","1"
20140513,1,"O3_24h","南京-迈皋桥","200"
20140513,1,"O3_8h","南京-迈皋桥","39"
20140513,1,"O3_8h_24h","南京-迈皋桥","171"
20140513,1,"CO","南京-迈皋桥","0.741"
20140513,1,"CO_24h","南京-迈皋桥","0.752"
20140513,2,"AQI","南京-迈皋桥","100"
20140513,2,"PM2.5","南京-迈皋桥","63"
20140513,2,"PM2.5_24h","南京-迈皋桥","70"
20140513,2,"PM10","南京-迈皋桥","149"
20140513,2,"PM10_24h","南京-迈皋桥","135"
20140513,2,"SO2","南京-迈皋桥","18"
20140513,2,"SO2_24h","南京-迈皋桥","23"
20140513,2,"NO2","南京-迈皋桥","74"
20140513,2,"NO2_24h","南京-迈皋桥","59"
20140513,2,"O3","南京-迈皋桥","46"
20140513,2,"O3_24h","南京-迈皋桥","200"
20140513,2,"O3_8h","南京-迈皋桥","24"
20140513,2,"O3_8h_24h","南京-迈皋桥","171"
20140513,2,"CO","南京-迈皋桥","0.61"
